	#x	Wavelength	A_lambda/E(B-V)
279	2.606202763	3837	4.171845114
280	2.604166667	3840	4.167960129
281	2.60213375	3843	4.164081211
282	2.600104004	3846	4.160208343
283	2.598077423	3849	4.156341513
284	2.596053998	3852	4.152480705
285	2.594033722	3855	4.148625907
286	2.592016589	3858	4.144777104
287	2.59000259	3861	4.140934282
288	2.587991718	3864	4.137097427
289	2.585983967	3867	4.133266525
290	2.583979328	3870	4.129441563
291	2.581977795	3873	4.125622526
292	2.57997936	3876	4.121809401
293	2.577984016	3879	4.118002174
294	2.575991757	3882	4.114200831
295	2.574002574	3885	4.11040536
296	2.572016461	3888	4.106615745
297	2.57003341	3891	4.102831974
298	2.568053416	3894	4.099054034
299	2.566076469	3897	4.09528191
300	2.564102564	3900	4.091515589
301	2.562131694	3903	4.087755058
302	2.56016385	3906	4.084000304
303	2.558199028	3909	4.080251313
304	2.556237219	3912	4.076508072
305	2.554278416	3915	4.072770568
306	2.552322614	3918	4.069038787
307	2.550369804	3921	4.065312717
308	2.54841998	3924	4.061592344
309	2.546473135	3927	4.057877656
310	2.544529262	3930	4.054168638
311	2.542588355	3933	4.050465279
312	2.540650407	3936	4.046767566
313	2.53871541	3939	4.043075485
314	2.536783359	3942	4.039389023
315	2.534854246	3945	4.035708168
316	2.532928065	3948	4.032032907
317	2.531004809	3951	4.028363228
318	2.529084471	3954	4.024699117
319	2.527167046	3957	4.021040562
320	2.525252525	3960	4.01738755
321	2.523340903	3963	4.013740069
322	2.521432173	3966	4.010098106
323	2.519526329	3969	4.006461649
324	2.517623364	3972	4.002830685
325	2.51572327	3975	3.999205201
326	2.513826043	3978	3.995585186
327	2.511931675	3981	3.991970627
328	2.510040161	3984	3.988361511
329	2.508151492	3987	3.984757826
330	2.506265664	3990	3.981159561
331	2.50438267	3993	3.977566703
332	2.502502503	3996	3.973979239
333	2.500625156	3999	3.970397158
334	2.498750625	4002	3.966820447
335	2.496878901	4005	3.963249095
336	2.49500998	4008	3.959683089
337	2.493143854	4011	3.956122417
338	2.491280518	4014	3.952567068
339	2.489419965	4017	3.949017029
340	2.487562189	4020	3.945472288
341	2.485707184	4023	3.941932835
342	2.483854943	4026	3.938398656
343	2.48200546	4029	3.934869741
344	2.48015873	4032	3.931346076
345	2.478314746	4035	3.927827652
346	2.476473502	4038	3.924314455
347	2.474634991	4041	3.920806475
348	2.472799209	4044	3.917303699
349	2.470966148	4047	3.913806117
350	2.469135802	4050	3.910313716
351	2.467308167	4053	3.906826485
352	2.465483235	4056	3.903344413
353	2.463661	4059	3.899867488
354	2.461841457	4062	3.896395699
355	2.4600246	4065	3.892929035
356	2.458210423	4068	3.889467483
357	2.456398919	4071	3.886011033
358	2.454590083	4074	3.882559674
359	2.45278391	4077	3.879113394
360	2.450980392	4080	3.875672182
361	2.449179525	4083	3.872236026
362	2.447381302	4086	3.868804917
363	2.445585718	4089	3.865378842
364	2.443792766	4092	3.861957791
365	2.442002442	4095	3.858541752
366	2.440214739	4098	3.855130715
367	2.438429651	4101	3.851724669
368	2.436647173	4104	3.848323602
369	2.4348673	4107	3.844927503
370	2.433090024	4110	3.841536363
371	2.431315342	4113	3.838150169
372	2.429543246	4116	3.834768912
373	2.427773731	4119	3.83139258
374	2.426006793	4122	3.828021162
375	2.424242424	4125	3.824654649
376	2.42248062	4128	3.821293028
377	2.420721375	4131	3.817936291
378	2.418964683	4134	3.814584425
379	2.417210539	4137	3.81123742
380	2.415458937	4140	3.807895266
381	2.413709872	4143	3.804557952
382	2.411963338	4146	3.801225468
383	2.41021933	4149	3.797897803
384	2.408477842	4152	3.794574947
385	2.406738869	4155	3.79125689
386	2.405002405	4158	3.78794362
387	2.403268445	4161	3.784635128
388	2.401536984	4164	3.781331403
389	2.399808015	4167	3.778032435
390	2.398081535	4170	3.774738214
391	2.396357537	4173	3.771448729
392	2.394636015	4176	3.768163971
393	2.392916966	4179	3.764883928
394	2.391200383	4182	3.761608592
395	2.38948626	4185	3.758337952
396	2.387774594	4188	3.755071997
397	2.386065378	4191	3.751810718
398	2.384358608	4194	3.748554104
399	2.382654277	4197	3.745302146
400	2.380952381	4200	3.742054834
401	2.379252915	4203	3.738812157
402	2.377555873	4206	3.735574107
403	2.37586125	4209	3.732340672
404	2.374169041	4212	3.729111843
405	2.372479241	4215	3.72588761
406	2.370791844	4218	3.722667964
407	2.369106847	4221	3.719452895
408	2.367424242	4224	3.716242392
409	2.365744026	4227	3.713036446
410	2.364066194	4230	3.709835048
411	2.362390739	4233	3.706638188
412	2.360717658	4236	3.703445855
413	2.359046945	4239	3.700258042
414	2.357378595	4242	3.697074737
415	2.355712603	4245	3.693895931
416	2.354048964	4248	3.690721616
417	2.352387673	4251	3.68755178
418	2.350728726	4254	3.684386416
419	2.349072117	4257	3.681225513
420	2.34741784	4260	3.678069062
421	2.345765893	4263	3.674917053
422	2.344116268	4266	3.671769478
423	2.342468962	4269	3.668626327
424	2.34082397	4272	3.66548759
425	2.339181287	4275	3.662353258
426	2.337540907	4278	3.659223323
427	2.335902826	4281	3.656097774
428	2.33426704	4284	3.652976602
429	2.332633543	4287	3.649859799
430	2.331002331	4290	3.646747355
431	2.329373399	4293	3.643639261
