# YES:  Extinction Coefficients -- Results
#
# Quantities which were not computable
# are assigned a value of -99
#
#
# Reddening Law  = odonnell_94
# The law has been formulated to give R_V = 3.07 for Vega.
#
#
#Wavelength(A)   A_lambda/tau1  A_lambda/E(B-V)
#
 5169.000        3.04919        3.12794
 5172.000        3.04655        3.12523
 5175.000        3.04391        3.12253
 5178.000        3.04127        3.11982
 5181.000        3.03864        3.11712
 5184.000        3.03601        3.11443
 5187.000        3.03339        3.11174
 5190.000        3.03077        3.10905
 5193.000        3.02815        3.10636
 5196.000        3.02554        3.10368
 5199.000        3.02293        3.10101
 5202.000        3.02033        3.09834
 5205.000        3.01772        3.09567
 5208.000        3.01513        3.09300
 5211.000        3.01253        3.09034
 5214.000        3.00994        3.08768
 5217.000        3.00736        3.08503
 5220.000        3.00477        3.08238
 5223.000        3.00219        3.07974
 5226.000        2.99962        3.07710
 5229.000        2.99705        3.07446
 5232.000        2.99448        3.07183
 5235.000        2.99192        3.06920
 5238.000        2.98936        3.06657
 5241.000        2.98681        3.06395
 5244.000        2.98426        3.06133
 5247.000        2.98171        3.05872
 5250.000        2.97917        3.05611
 5253.000        2.97663        3.05351
 5256.000        2.97409        3.05091
 5259.000        2.97156        3.04831
 5262.000        2.96904        3.04572
 5265.000        2.96651        3.04314
 5268.000        2.96400        3.04055
 5271.000        2.96148        3.03797
 5274.000        2.95897        3.03540
 5277.000        2.95647        3.03283
 5280.000        2.95397        3.03026
 5283.000        2.95147        3.02770
 5286.000        2.94898        3.02514
 5289.000        2.94649        3.02259
 5292.000        2.94400        3.02004
 5295.000        2.94152        3.01750
 5298.000        2.93905        3.01496
 5301.000        2.93657        3.01242
 5304.000        2.93411        3.00989
 5307.000        2.93164        3.00736
 5310.000        2.92918        3.00484
 5313.000        2.92673        3.00232
 5316.000        2.92428        2.99981
 5319.000        2.92183        2.99730
 5322.000        2.91939        2.99479
 5325.000        2.91695        2.99229
 5328.000        2.91452        2.98980
 5331.000        2.91209        2.98731
 5334.000        2.90967        2.98482
 5337.000        2.90725        2.98234
 5340.000        2.90483        2.97986
 5343.000        2.90242        2.97738
 5346.000        2.90001        2.97492
 5349.000        2.89761        2.97245
 5352.000        2.89521        2.96999
 5355.000        2.89282        2.96754
 5358.000        2.89043        2.96509
 5361.000        2.88805        2.96264
 5364.000        2.88567        2.96020
 5367.000        2.88329        2.95776
 5370.000        2.88092        2.95533
 5373.000        2.87855        2.95290
 5376.000        2.87619        2.95048
 5379.000        2.87383        2.94806
 5382.000        2.87148        2.94565
 5385.000        2.86913        2.94324
 5388.000        2.86679        2.94083
 5391.000        2.86445        2.93843
 5394.000        2.86211        2.93604
 5397.000        2.85978        2.93365
 5400.000        2.85746        2.93126
 5403.000        2.85513        2.92888
 5406.000        2.85282        2.92650
 5409.000        2.85051        2.92413
 5412.000        2.84820        2.92176
 5415.000        2.84589        2.91940
 5418.000        2.84360        2.91704
 5421.000        2.84130        2.91469
 5424.000        2.83901        2.91234
 5427.000        2.83673        2.90999
 5430.000        2.83445        2.90766
 5433.000        2.83217        2.90532
 5436.000        2.82990        2.90299
 5439.000        2.82763        2.90067
 5442.000        2.82537        2.89835
 5445.000        2.82311        2.89603
 5448.000        2.82086        2.89372
 5451.000        2.81861        2.89141
 5454.000        2.81637        2.88911
 5457.000        2.81413        2.88681
 5460.000        2.81190        2.88452
 5463.000        2.80967        2.88223
 5466.000        2.80744        2.87995
 5469.000        2.80522        2.87767
 5472.000        2.80300        2.87540
 5475.000        2.80079        2.87313
 5478.000        2.79859        2.87087
