Wavelength,A_lambda/tau1,Al_Ebv
4983,3.2191,3.30224
4986,3.21628,3.29935
4989,3.21346,3.29646
4992,3.21064,3.29357
4995,3.20783,3.29068
4998,3.20502,3.2878
5001,3.20221,3.28492
5004,3.19941,3.28204
5007,3.1966,3.27916
5010,3.1938,3.27629
5013,3.191,3.27342
5016,3.1882,3.27055
5019,3.18541,3.26768
5022,3.18261,3.26482
5025,3.17982,3.26195
5028,3.17703,3.25909
5031,3.17425,3.25623
5034,3.17147,3.25338
5037,3.16868,3.25053
5040,3.16591,3.24768
5043,3.16313,3.24483
5046,3.16036,3.24198
5049,3.15759,3.23914
5052,3.15482,3.2363
5055,3.15205,3.23347
5058,3.14929,3.23063
5061,3.14653,3.2278
5064,3.14377,3.22497
5067,3.14102,3.22215
5070,3.13827,3.21932
5073,3.13552,3.2165
5076,3.13277,3.21369
5079,3.13003,3.21087
5082,3.12729,3.20806
5085,3.12455,3.20525
5088,3.12182,3.20245
5091,3.11909,3.19965
5094,3.11636,3.19685
5097,3.11363,3.19405
5100,3.11091,3.19126
5103,3.10819,3.18847
5106,3.10547,3.18568
5109,3.10276,3.1829
5112,3.10005,3.18012
5115,3.09734,3.17734
5118,3.09464,3.17457
5121,3.09194,3.1718
5124,3.08924,3.16903
5127,3.08655,3.16627
5130,3.08386,3.16351
5133,3.08117,3.16075
5136,3.07849,3.158
5139,3.07581,3.15525
5142,3.07313,3.1525
5145,3.07045,3.14976
5148,3.06778,3.14702
5151,3.06512,3.14428
5154,3.06245,3.14155
5157,3.05979,3.13882
5160,3.05714,3.1361
5163,3.05448,3.13338
5166,3.05183,3.13066
5169,3.04919,3.12794
5172,3.04655,3.12523
5175,3.04391,3.12253
5178,3.04127,3.11982
5181,3.03864,3.11712
5184,3.03601,3.11443
5187,3.03339,3.11174
5190,3.03077,3.10905
5193,3.02815,3.10636
5196,3.02554,3.10368
5199,3.02293,3.10101
5202,3.02033,3.09834
5205,3.01772,3.09567
5208,3.01513,3.093
5211,3.01253,3.09034
5214,3.00994,3.08768
5217,3.00736,3.08503
5220,3.00477,3.08238
5223,3.00219,3.07974
5226,2.99962,3.0771
5229,2.99705,3.07446
5232,2.99448,3.07183
5235,2.99192,3.0692
5238,2.98936,3.06657
5241,2.98681,3.06395
5244,2.98426,3.06133
5247,2.98171,3.05872
5250,2.97917,3.05611
5253,2.97663,3.05351
5256,2.97409,3.05091
5259,2.97156,3.04831
5262,2.96904,3.04572
5265,2.96651,3.04314
5268,2.964,3.04055
5271,2.96148,3.03797
5274,2.95897,3.0354
5277,2.95647,3.03283
5280,2.95397,3.03026
5283,2.95147,3.0277
5286,2.94898,3.02514
5289,2.94649,3.02259
5292,2.944,3.02004
5295,2.94152,3.0175
