name,bptagn,nontrad,unclassified,composite,sf
ECO03458,False,False,False,False,True
ECO03460,False,False,True,True,False
ECO03463,False,False,False,False,True
ECO03465,False,False,False,True,True
ECO03475,False,False,False,False,True
ECO03478,False,False,False,True,True
ECO03479,False,False,False,False,True
ECO03484,False,False,True,True,False
ECO03486,False,False,False,False,True
ECO03487,False,False,True,True,False
ECO03489,False,False,False,False,True
ECO03490,False,False,False,True,True
ECO03491,False,False,False,False,True
ECO03493,False,False,False,False,True
ECO03494,False,False,False,False,True
ECO03496,False,False,False,False,True
ECO03498,False,False,False,False,True
ECO03502,False,False,False,False,True
ECO03503,False,False,False,False,True
ECO03506,False,False,False,False,True
ECO03508,False,False,False,False,True
ECO03518,False,False,False,False,True
ECO03519,False,False,False,False,True
ECO03525,False,False,False,False,True
ECO03526,False,False,False,True,True
ECO03527,False,False,False,False,True
ECO03530,True,False,True,True,False
