#ID SDSSID RA DEG z Plate MJD Fiber nspec
  298 J012419.88+141858.5  21.082847    14.316252     0.339089    424 51893 114 1
  299 J012423.99+134325.3  21.099975    13.723708     0.255063    424 51893  97 1
  300 J012428.53-100652.7  21.118869   -10.114651     0.348645   2878 54465 306 1
  301 J012507.37-103338.5  21.280709   -10.560683     0.289683    661 52163  91 1
  302 J012539.23-104351.6  21.413461   -10.73101      0.286126    661 52163  50 1
  303 J012540.50-101752.6  21.418731   -10.297958     0.151238    661 52163 103 1
  304 J012553.08+001620.9  21.471173     0.272475     0.121014   1501 53740 457 1
  305 J012612.34-000128.7  21.55142     -0.024638     0.104019   1501 53740 172 1
  306 J012648.08-083948.0  21.700339    -8.6633314    0.197777    661 52163 604 1
  307 J012657.36+395422.3  21.739007    39.906199     0.117966   2063 53359 520 1
  308 J012717.64+131429.2  21.823499    13.24145      0.243655    425 51898 289 1
  309 J012727.68-084847.1  21.865315    -8.813085     0.163853    662 52147 324 1
  310 J012755.94-103844.3  21.983077   -10.645633     0.0823801   661 52163   5 1
  311 J012815.29+150436.0  22.063696    15.076671     0.185735    424 51893 629 1
  312 J012817.36-000412.1  22.072346    -0.070037541  0.0976878   399 51817  77 1
  313 J012827.49-103249.6  22.114538   -10.547107     0.312582   2878 54465 212 1
  314 J012836.27-002351.5  22.151123    -0.39764969   0.102125    399 51817  38 1
  315 J013000.36-103715.6  22.5015     -10.621001     0.183297   2878 54465  88 1
  316 J013015.11+002557.2  22.562946     0.43254236   0.336246    400 51820 395 1
  317 J013023.43-102512.8  22.59763    -10.420233     0.126066    662 52147 297 1
  318 J013023.52+000551.7  22.598006     0.097684855  0.345289    399 51817 638 1
  319 J013046.16-000800.8  22.69233     -0.13355657   0.253431    400 51820 271 1
  320 J013103.38+131926.2  22.764098    13.323955     0.170174    425 51898 124 1
  321 J013128.89-082703.1  22.870361    -8.4508487    0.145746    662 52147 370 1
  322 J013203.46-093153.8  23.01441     -9.531599     0.189837    662 52147 433 1
  323 J013227.85+003919.6  23.11606      0.655454     0.272789   1502 53741 418 1
  324 J013229.99+004201.2  23.124964     0.70032413   0.152208    400 51820 478 1
  325 J013242.04+150114.8  23.175176    15.020768     0.169672    425 51898 543 1
  326 J013251.35+011306.4  23.213967     1.2184513    0.144922    400 51820 417 1
  327 J013253.31-095239.5  23.222117    -9.8776462    0.260062    662 52147 180 1
  328 J013254.84+151315.0  23.228514    15.220833     0.331492    425 51898 578 1
  329 J013256.33+004326.1  23.234707     0.72391677   0.238264    400 51820 500 1
  330 J013256.46-002249.6  23.23527     -0.38045807   0.0954221   400 51820 225 1
  331 J013258.49+005417.7  23.243713     0.90492476   0.121213    400 51820 401 1
  332 J013338.72+002508.1  23.411334     0.41891595   0.344283    400 51820 495 1
  333 J013344.61-103502.0  23.435892   -10.58388      0.263941    662 52147  86 1
  334 J013352.65+011345.4  23.469391     1.2292659    0.308083    400 51820 447 1
  335 J013358.26-001541.7  23.49276     -0.26158383   0.189854    400 51820 198 1
  336 J013402.53-094627.0  23.510558    -9.7741569    0.0408057   663 52145 306 1
  337 J013407.89-084129.9  23.53286     -8.6916496    0.0697639   662 52178 526 2
  338 J013413.87-090312.1  23.557775    -9.0533486    0.17487     663 52145 342 1
  339 J013419.89-100836.0  23.582885   -10.143341     0.347494   2878 54465  35 1
  340 J013444.83+140930.3  23.686794    14.158414     0.276       426 51882 397 1
  341 J013453.20-001842.4  23.721663    -0.31178125   0.303607    698 52203 279 1
  342 J013521.68-004402.2  23.840328    -0.73394197   0.0984745   400 51820  47 1
  343 J013527.85-004448.0  23.866024    -0.7466661    0.0804326   400 51820  59 1
  344 J013556.99+003056.8  23.987464     0.51578266   0.137825    400 51820 585 1
  345 J013706.95-090857.5  24.278946    -9.14931      0.069741    662 52147 558 1
  346 J013756.51+145606.4  24.485464    14.935104     0.349878    426 51882 412 1
  347 J013757.53+131102.1  24.489728    13.183923     0.0786494   426 51882 132 1
  348 J013813.52-091240.8  24.556333    -9.2113458    0.204985    662 52147 625 1
  349 J013843.40-083740.5  24.680814    -8.6279127    0.200048    663 52145 412 1
  350 J013846.53+134935.9  24.69386     13.826641     0.246374    426 51882 174 1
